#,Party,Total Contestants,Won,Second,Third,Party Votes,Valid Votes %,Valid Votes % (Contested),AC Leads,AC Second,AC Third
1,Bharatiya Janta Party,436,303,72,31,"22,90,78,370",37.70%,46.60%,0,0,0
2,Indian National Congress,422,52,209,99,"11,96,15,631",19.70%,25.10%,0,0,0
3,Dravida Munetra Kazhagam,23,23,0,0,"1,38,77,622",2.30%,55.10%,0,0,0
4,All India Trinamool Congress,63,22,19,3,"2,49,33,835",4.10%,31.30%,0,0,0
5,Yuvajana Sramika Rythu Congress Party,25,22,3,0,"1,55,34,558",2.60%,49.90%,0,0,0
6,Shiv Sena,98,18,5,2,"1,28,58,901",2.10%,11.60%,0,0,0
7,Janata Dal (United),25,16,1,1,"89,26,679",1.50%,37.40%,0,0,0
8,Biju Janata Dal,21,12,9,0,"1,01,72,041",1.70%,43.30%,0,0,0
9,Bahujan Samaj Party,383,10,27,108,"2,22,45,916",3.70%,5.10%,0,0,0
10,Telangana Rashtra Samithi,17,9,7,1,"76,96,848",1.30%,41.70%,0,0,0
11,Lok Jan Shakti Party,6,6,0,0,"32,06,979",0.50%,55.20%,0,0,0
12,Samajwadi Party,49,5,31,3,"1,56,47,182",2.60%,28.90%,0,0,0
13,Nationalist Congress Party,34,5,15,3,"85,00,331",1.40%,23.10%,0,0,0
14,Independent,3447,4,4,77,"1,64,77,134",2.70%,2.90%,0,0,0
15,Telugu Desam,25,3,22,0,"1,25,13,061",2.10%,40.20%,0,0,0
16,Communist Party Of India (Marxist),69,3,13,38,"1,07,44,809",1.80%,13.10%,0,0,0
17,Indian Union Muslim League,9,3,0,0,"15,92,467",0.30%,15.80%,0,0,0
18,Jammu & Kashmir National Conference,3,3,0,0,"2,80,356",0%,37.10%,0,0,0
19,Shiromani Akali Dal,10,2,6,2,"37,78,574",0.60%,35.40%,0,0,0
20,Communist Party Of India,49,2,4,15,"35,76,184",0.60%,6.60%,0,0,0
21,All India Majlis-E-Ittehadul Muslimeen,3,2,0,1,"12,01,542",0.20%,38.20%,0,0,0
22,Apna Dal (Soneylal),2,2,0,0,"10,39,478",0.20%,50.40%,0,0,0
23,All India Anna Dravida Munnetra Kazhagam,21,1,20,0,"78,30,520",1.30%,33.60%,0,0,0
24,Janata Dal (Secular),9,1,6,1,"34,57,107",0.60%,37.70%,0,0,0
25,Aam Aadmi Party,35,1,2,13,"27,16,629",0.40%,7.50%,0,0,0
26,Jharkhand Mukti Morcha,13,1,3,1,"19,01,976",0.30%,12.90%,0,0,0
27,All India United Democratic Front,4,1,2,1,"18,36,745",0.30%,44%,0,0,0
28,Revolutionary Socialist Party,6,1,0,3,"7,09,685",0.10%,10%,0,0,0
29,Rashtriya Loktantrik Party,1,1,0,0,"6,60,051",0.10%,55.50%,0,0,0
30,All Jharkhand Students Union,1,1,0,0,"6,48,277",0.10%,59.60%,0,0,0
31,Viduthalai Chiruthaigal Katchi,7,1,0,0,"5,07,643",0.10%,6.10%,0,0,0
32,Nationalist Democratic Progressive Party,1,1,0,0,"5,00,510",0.10%,49.80%,0,0,0
33,National People's Party,11,1,0,3,"4,25,986",0.10%,4.10%,0,0,0
34,Kerala Congress(M),1,1,0,0,"4,21,046",0.10%,46.60%,0,0,0
35,Naga Peoples Front,1,1,0,0,"3,63,527",0.10%,42.50%,0,0,0
36,Mizo National Front,1,1,0,0,"2,24,286",0%,45.10%,0,0,0
37,Sikkim Krantikari Morcha,1,1,0,0,"1,66,922",0%,47.80%,0,0,0
38,Rashtriya Janata Dal,21,0,19,2,"66,31,585",1.10%,31.30%,0,0,0
39,Vanchit Bahujan Aaghadi,47,0,1,39,"37,43,560",0.60%,7.10%,0,0,0
40,Pattali Makkal Katchi,7,0,7,0,"22,97,431",0.40%,29.30%,0,0,0
41,Janasena Party,24,0,0,17,"19,15,127",0.30%,6.60%,0,0,0
42,Naam Tamilar Katchi,38,0,0,6,"16,68,042",0.30%,4%,0,0,0
43,Makkal Needhi Maiam,37,0,0,12,"16,13,688",0.30%,4%,0,0,0
44,Asom Gana Parisad,3,0,2,1,"14,80,697",0.20%,32.70%,0,0,0
45,Rashtriya Lok Samta Party,5,0,5,0,"14,62,518",0.20%,31.40%,0,0,0
46,Rashtriya Lok Dal,3,0,3,0,"14,47,363",0.20%,44%,0,0,0
47,Hindustani Awam Morcha (Secular),3,0,3,0,"9,58,266",0.20%,33.40%,0,0,0
48,Desiya Murpokku Dravida Kazhagam,4,0,4,0,"9,29,590",0.20%,22%,0,0,0
49,Swabhimani Paksha,2,0,2,0,"8,34,380",0.10%,34.40%,0,0,0
50,Jharkhand Vikas Morcha (Prajatantrik),2,0,2,0,"7,50,799",0.10%,31.90%,0,0,0
51,Communist Party Of India (Marxist-Leninist) (Liberation),22,0,1,3,"7,11,715",0.10%,2.90%,0,0,0
